Player_ID,position
485,Attack
485,Right Winger
486,Attack
486,Centre-Forward
487,Midfield
487,Defensive Midfield
488,Defender
488,Left-Back
489,Goalkeeper
490,Defender
490,Centre-Back
491,Goalkeeper
492,Midfield
492,Central Midfield
493,Defender
493,Left-Back
494,Goalkeeper
495,Defender
495,Right-Back
496,Midfield
496,Central Midfield
497,Midfield
497,Central Midfield
498,Goalkeeper
499,Midfield
499,Central Midfield
500,Midfield
500,Central Midfield
501,Goalkeeper
502,Attack
502,Centre-Forward
503,Defender
503,Right-Back
504,Defender
504,Centre-Back
505,Midfield
505,Central Midfield
506,Midfield
506,Attacking Midfield
507,Midfield
507,Defensive Midfield
508,Midfield
508,Attacking Midfield
509,Midfield
509,Defensive Midfield
510,Defender
510,Right-Back
511,Midfield
511,Defensive Midfield
512,Defender
512,Centre-Back
513,Midfield
513,Attacking Midfield
514,Midfield
514,Central Midfield
515,Goalkeeper
516,Midfield
516,Defensive Midfield
517,Midfield
517,Central Midfield
518,Goalkeeper
519,Defender
519,Centre-Back
520,Goalkeeper
521,Attack
521,Centre-Forward
522,Attack
522,Right Winger
523,Defender
523,Right-Back
524,Goalkeeper
525,Midfield
525,Attacking Midfield
526,Midfield
526,Central Midfield
527,Attack
527,Centre-Forward
528,Defender
528,Centre-Back
529,Defender
529,Right-Back
530,Defender
530,Right-Back
531,Attack
531,Right Winger
532,Attack
532,Right Winger
533,Goalkeeper
534,Goalkeeper
535,Defender
535,Centre-Back
536,Goalkeeper
537,Midfield
537,Attacking Midfield
538,Goalkeeper
539,Attack
539,Centre-Forward
540,Defender
540,Right-Back
541,Defender
541,Right-Back
542,Attack
542,Centre-Forward
543,Midfield
543,Attacking Midfield
544,Attack
544,Centre-Forward
545,Attack
545,Centre-Forward
546,Defender
546,Centre-Back
547,Midfield
547,Attacking Midfield
548,Defender
548,Centre-Back
549,Midfield
549,Attacking Midfield
550,Midfield
550,Attacking Midfield
551,Goalkeeper
552,Goalkeeper
553,Attack
553,Centre-Forward
554,Defender
554,Centre-Back
555,Goalkeeper
556,Defender
556,Centre-Back
557,Attack
557,Centre-Forward
558,Goalkeeper
559,Attack
559,Centre-Forward
560,Midfield
560,Attacking Midfield
561,Attack
561,Left Winger
562,Midfield
562,Defensive Midfield
563,Midfield
563,Defensive Midfield
564,Defender
564,Centre-Back
565,Defender
565,Centre-Back
566,Attack
566,Centre-Forward
567,Defender
567,Centre-Back
568,Goalkeeper
569,Midfield
569,Central Midfield
570,Defender
570,Right-Back
571,Defender
571,Centre-Back
572,Attack
572,Left Winger
573,Defender
573,Centre-Back
574,Defender
574,Centre-Back
575,Midfield
575,Defensive Midfield
576,Defender
576,Left-Back
577,Defender
577,Centre-Back
578,Midfield
578,Central Midfield
579,Goalkeeper
580,Midfield
580,Central Midfield
581,Attack
581,Centre-Forward
582,Midfield
582,Defensive Midfield
583,Goalkeeper
584,Goalkeeper
585,Attack
585,Right Winger
586,Defender
586,Right-Back
587,Midfield
587,Defensive Midfield
588,Goalkeeper
589,Defender
589,Left-Back
590,Goalkeeper
