Game_ID,Club_Name
154,M'gladbach
154,Dortmund
155,Union Berlin
155,Augsburg
156,Bielefeld
156,Ein Frankfurt
157,Stuttgart
157,Freiburg
158,Leverkusen
158,Wolfsburg
159,Mainz
159,RB Leipzig
160,Werder Bremen
160,Hertha
161,Schalke 04
161,Bayern Munich
162,FC Koln
162,Hoffenheim
163,Mainz
163,Stuttgart
164,Bayern Munich
164,Hoffenheim
165,Augsburg
165,Dortmund
166,Ein Frankfurt
166,Hertha
167,M'gladbach
167,Union Berlin
168,Werder Bremen
168,Schalke 04
169,Leverkusen
169,RB Leipzig
170,FC Koln
170,Bielefeld
171,Freiburg
171,Wolfsburg
172,Hertha
172,Bayern Munich
173,Wolfsburg
173,Augsburg
174,Freiburg
174,Dortmund
175,Stuttgart
175,Leverkusen
176,Mainz
176,Union Berlin
177,RB Leipzig
177,Schalke 04
178,M'gladbach
178,FC Koln
179,Ein Frankfurt
179,Hoffenheim
180,RB Leipzig
180,Augsburg
181,Hoffenheim
181,Dortmund
182,Leverkusen
182,Mainz
183,Hertha
183,Stuttgart
184,Werder Bremen
184,Freiburg
185,Schalke 04
185,Union Berlin
186,Ein Frankfurt
186,FC Koln
187,M'gladbach
187,Wolfsburg
188,Bayern Munich
188,Bielefeld
189,Bielefeld
189,Wolfsburg
190,Bayern Munich
190,Ein Frankfurt
191,FC Koln
191,Stuttgart
192,Union Berlin
192,Freiburg
193,M'gladbach
193,Mainz
194,Dortmund
194,Schalke 04
195,Augsburg
195,Leverkusen
196,RB Leipzig
196,Hertha
197,Hoffenheim
197,Werder Bremen
198,Ein Frankfurt
198,Werder Bremen
199,Bayern Munich
199,FC Koln
200,Bielefeld
200,Dortmund
201,Stuttgart
201,Schalke 04
202,Hertha
202,Wolfsburg
203,RB Leipzig
203,M'gladbach
204,Hoffenheim
204,Union Berlin
205,Mainz
205,Augsburg
206,Freiburg
206,Leverkusen
207,Schalke 04
207,Mainz
208,Stuttgart
208,Ein Frankfurt
209,Freiburg
209,RB Leipzig
210,Augsburg
210,Hertha
211,Hoffenheim
211,Wolfsburg
212,Leverkusen
212,M'gladbach
213,Dortmund
213,Bayern Munich
214,FC Koln
214,Werder Bremen
215,Union Berlin
215,Bielefeld
216,Bielefeld
216,Werder Bremen
217,Augsburg
217,M'gladbach
218,Freiburg
218,Mainz
219,Union Berlin
219,FC Koln
220,Bayern Munich
220,Werder Bremen
221,Wolfsburg
221,Schalke 04
222,Hertha
222,Dortmund
223,Leverkusen
223,Bielefeld
224,Ein Frankfurt
224,RB Leipzig
225,Stuttgart
225,Hoffenheim
226,RB Leipzig
226,Bielefeld
227,Bayern Munich
227,Stuttgart
228,Union Berlin
228,Ein Frankfurt
229,FC Koln
229,Dortmund
230,Wolfsburg
230,Werder Bremen
231,Schalke 04
231,M'gladbach
232,Hoffenheim
232,Mainz
233,Leverkusen
233,Hertha
234,Freiburg
234,Augsburg
235,Augsburg
235,Hoffenheim
236,Ein Frankfurt
236,Dortmund
237,Schalke 04
237,Leverkusen
238,Mainz
238,Bielefeld
239,Wolfsburg
239,FC Koln
240,Bayern Munich
240,RB Leipzig
241,Freiburg
241,M'gladbach
242,Stuttgart
242,Werder Bremen
243,Hertha
243,Union Berlin
244,Bielefeld
244,Freiburg
245,Union Berlin
245,Bayern Munich
246,Ein Frankfurt
246,Wolfsburg
247,M'gladbach
247,Hertha
248,Werder Bremen
248,RB Leipzig
249,Dortmund
249,Stuttgart
250,Schalke 04
250,Augsburg
251,Mainz
251,FC Koln
252,Hoffenheim
252,Leverkusen
253,Hoffenheim
253,RB Leipzig
254,Augsburg
254,Bielefeld
255,Schalke 04
255,Freiburg
256,M'gladbach
256,Ein Frankfurt
257,Stuttgart
257,Union Berlin
258,Wolfsburg
258,Bayern Munich
259,FC Koln
259,Leverkusen
260,Dortmund
260,Werder Bremen
261,RB Leipzig
261,FC Koln
262,Bayern Munich
262,Leverkusen
263,Schalke 04
263,Bielefeld
264,Ein Frankfurt
264,Augsburg
265,Union Berlin
265,Dortmund
266,Hoffenheim
266,M'gladbach
267,Wolfsburg
267,Stuttgart
268,Werder Bremen
268,Mainz
269,FC Koln
269,Augsburg
270,Freiburg
270,Hoffenheim
